Time,pm10 standard,pm25 standard,pm100 standard,temperature,gas,humidity,pressure,altitude
1708733051.6049626,4,6,7,23.0690625,245314,32.01249560778169,1007.5032191931679,47.9561184140423
1708733052.6181352,4,6,7,23.0704296875,245862,32.018298075236345,1007.5020729240681,47.9657059452159
1708733053.631318,4,6,7,23.073359375,246595,31.978787775420866,1007.4983913076076,47.996499483196715
1708733054.6443465,4,6,7,23.076875,246412,31.97909759627343,1007.5111273086072,47.8899742359887
1708733055.6573482,3,5,6,23.081171875,246964,31.973795825723347,1007.5097300964419,47.90166061173518
1708733056.6704686,3,5,6,23.0860546875,246228,31.985587370131444,1007.5127426996705,47.87646301374642
1708733057.6836085,3,5,6,23.088203125,248449,32.01418396722608,1007.509470862743,47.90382886112216
1708733058.6967175,3,5,5,23.09171875,249010,32.00881217592404,1007.5067679965272,47.92643585638669
1708733059.7107463,2,4,4,23.092109375,247519,31.991802153272182,1007.5074206973176,47.920976608816325
1708733060.724545,2,4,4,23.0915234375,251856,31.991750492145414,1007.5064416461777,47.92916548086582
1708733061.738039,1,3,3,23.09015625,253013,31.974587560951797,1007.5041571945839,47.948272865134065
1708733062.7533863,1,3,3,23.0930859375,252240,31.952125543433723,1007.5004752175772,47.97906936718925
1708733063.7679925,1,3,3,23.095234375,251664,31.95799452103803,1007.4954877871953,48.02078498485855
1708733064.7822561,1,1,1,23.0993359375,251282,31.958355849332982,1007.495479199766,48.02085681155199
1708733065.7966933,1,1,1,23.1003125,251664,31.947082484398045,1007.4833872035281,48.12199678118894
1708733066.809592,1,1,1,23.1028515625,254964,31.95298572793669,1007.4859141533202,48.10086076670915
1708733067.8223991,1,1,1,23.102265625,253013,31.952934114377506,1007.4866506037355,48.0947009267755
1708733068.8350587,1,1,1,23.1051953125,254571,31.92479616830987,1007.4863992775153,48.09680307643186
1708733069.847683,2,2,2,23.10734375,254571,31.9079502748376,1007.489989008531,48.06677779025512
1708733070.8607967,0,0,0,23.1102734375,254180,31.885497684878715,1007.4897376290362,48.06888037986973
1708733071.873423,0,0,0,23.11125,256746,31.891260831950845,1007.4982312956143,47.99783784721124
1708733072.8860548,0,0,0,23.10734375,258959,31.86253341898227,1007.4951354585271,48.023731921141106
1708733073.8987467,0,0,0,23.1044140625,260386,31.84524843585987,1007.4971022501236,48.00728135585688
1708733074.9123108,0,0,0,23.101875,258959,31.822325311274604,1007.4962907361318,48.014068987924816
1708733075.9253154,0,0,0,23.1012890625,259569,31.805251175173943,1007.4987426414924,47.99356087513454
1708733076.9384327,0,0,0,23.100703125,260797,31.81087376244951,1007.4994790748337,47.987401241520075
1708733077.9515703,0,0,0,23.09875,261209,31.79368110059665,1007.4996465505802,47.98600045097581
1708733078.964687,0,0,0,23.096796875,261209,31.799183279670913,1007.5066758329452,47.92720672103381
1708733079.9777734,0,0,0,23.0926953125,263920,31.781803777152177,1007.5049688576421,47.94148402917422
1708733080.990864,0,0,0,23.08625,262454,31.78691154268726,1007.5079227677321,47.91677724907634
1708733082.0038908,0,0,0,23.0815625,262245,31.769482582508655,1007.4983748951317,47.996636759563536
1708733083.0169969,0,0,0,23.076484375,262662,31.75202179981898,1007.4967513743993,48.010216135667505
1708733084.0296705,0,0,0,23.07140625,262662,31.74023438686185,1007.483120047502,48.1242313408091
1708733085.0427835,0,0,0,23.067890625,259977,31.72291450474554,1007.482391879363,48.13032192314409
1708733086.0558832,0,0,0,23.0598828125,261416,31.71087356859269,1007.4775882768279,48.170500558016776
1708733087.0686605,0,0,0,23.0503125,263500,31.69302823988022,1007.4684583428018,48.24686623083707
1708733088.0832448,0,0,0,23.0380078125,266904,31.674946760852514,1007.4616205074558,48.30406042807265
1708733089.0975509,0,0,0,23.02296875,268639,31.645295418405077,1007.4587895329294,48.32773984361187
1708733090.11179,0,0,0,23.0087109375,267768,31.621385640512923,1007.4572631427562,48.34050721051875
1708733091.1263564,0,0,0,22.9969921875,269076,31.626028861284848,1007.4548331600515,48.360832636239664
1708733092.139055,0,0,0,22.9860546875,270618,31.613743572652126,1007.4605687845577,48.3128574573308
1708733093.15208,0,0,0,22.9753125,268639,31.618471854267906,1007.4649149316564,48.276504599911725
1708733094.1651387,0,0,0,22.9653515625,271284,31.61760302864307,1007.4602753258895,48.31531206385044
1708733095.1777637,0,0,0,22.95421875,270397,31.622297258018598,1007.4588223430577,48.32746540612778
1708733096.1904032,0,0,0,22.943671875,271507,31.621377394993072,1007.4566329780677,48.34577817655184
1708733097.2035375,0,0,0,22.933515625,269955,31.62615681381087,1007.4585260160266,48.32994400827484
1708733098.216575,0,0,0,22.9247265625,271954,31.631055532646457,1007.4506983327458,48.395418210375496
1708733099.2296367,0,0,0,22.91515625,272178,31.635886173015773,1007.4569996914149,48.34271082949725
1708733100.2426794,0,0,0,22.9065625,273077,31.635136620492453,1007.4494979319077,48.40545892988053
1708733101.2556963,0,0,0,22.901484375,269076,31.65735655953445,1007.454731018283,48.3616869950106
1708733102.268687,0,0,0,22.8940625,269295,31.67370809938918,1007.4509022699718,48.393712384068046
1708733103.2816947,0,0,0,22.887421875,269735,31.6787951716722,1007.4535236903821,48.37178562303882
1708733104.2948,0,0,0,22.8794140625,268639,31.706432696088207,1007.4555748553288,48.354628772126816
1708733105.307834,0,0,0,22.8723828125,270176,31.7114863637559,1007.4489686063366,48.409886462014
1708733106.3209143,0,0,0,22.864765625,269076,31.716488922496197,1007.4482423973132,48.41596082452962
1708733107.3340096,0,0,0,22.8575390625,270840,31.7215256929883,1007.4550280638555,48.359202375106875
1708733108.347083,0,0,0,22.8489453125,271507,31.732111565594508,1007.4475247900311,48.42196324141597
1708733109.360097,0,0,0,22.8399609375,273303,31.748332852143882,1007.4445128637028,48.44715649823193
1708733110.373177,0,1,1,22.83078125,273077,31.74186140144677,1007.4497479811055,48.40336739950727
1708733111.3862605,0,1,1,22.818671875,273529,31.735134482784524,1007.4483713600764,48.41488211752197
